Song,Artist
Beggin',Måneskin
STAY (with Justin Bieber),The Kid LAROI
good 4 u,Olivia Rodrigo
Bad Habits,Ed Sheeran
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
MONTERO (Call Me By Your Name),Lil Nas X
Kiss Me More (feat. SZA),Doja Cat
Todo De Ti,Rauw Alejandro
Yonaguni,Bad Bunny
I WANNA BE YOUR SLAVE,Måneskin
Levitating (feat. DaBaby),Dua Lipa
Qué Más Pues?,"J Balvin, Maria Becerra"
Permission to Dance,BTS
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Butter,BTS
traitor,Olivia Rodrigo
deja vu,Olivia Rodrigo
Save Your Tears (with Ariana Grande) (Remix),The Weeknd
AM Remix,"Nio Garcia, J Balvin, Bad Bunny"
Need To Know,Doja Cat
Volando - Remix,"Mora, Bad Bunny, Sech"
Ain't Shit,Doja Cat
drivers license,Olivia Rodrigo
Heat Waves,Glass Animals
Blinding Lights,The Weeknd
happier,Olivia Rodrigo
Pepas,Farruko
Motley Crew,Post Malone
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers"
Astronaut In The Ocean,Masked Wolf
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic"
Don't Go Yet,Camila Cabello
favorite crime,Olivia Rodrigo
Pareja Del Año,"Sebastian Yatra, Myke Towers"
Watermelon Sugar,Harry Styles
NOT SOBER (feat. Polo G & Stunna Gambino),The Kid LAROI
RAPSTAR,Polo G
You Right,"Doja Cat, The Weeknd"
911 - Remix,"Sech, Jhay Cortez"
DÁKITI,"Bad Bunny, Jhay Cortez"
Miénteme,"TINI, Maria Becerra"
"jealousy, jealousy",Olivia Rodrigo
Poblado - Remix,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander"
Dynamite,BTS
The Business,Tiësto
Heartbreak Anthem (with David Guetta & Little Mix),Galantis
Mood (feat. iann dior),24kGoldn
Entre Nosotros,"Tiago PZK, LIT killah"
Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers"
Build a Bitch,Bella Poarch
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam"
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch"
NDA,Billie Eilish
Rasputin,"Majestic, Boney M."
Leave Before You Love Me (with Jonas Brothers),Marshmello
Freaks,Surf Curse
Meu Pedaço de Pecado,João Gomes
2/Catorce,"Rauw Alejandro, Mr. Naisgai"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
Run,OneRepublic
Thot Shit,Megan Thee Stallion
Your Love (9PM),"ATB, Topic, A7S"
brutal,Olivia Rodrigo
Save Your Tears,The Weeknd
Heartbreak Anniversary,Giveon
Don't Start Now,Dua Lipa
Dinero,Trinidad Cardona
Sweater Weather,The Neighbourhood
Sobrio,Maluma
Someone You Loved,Lewis Capaldi
Over The Top (feat. Drake),Smiley
2055,Sleepy Hallow
EL MAKINON,"KAROL G, Mariah Angeliq"
Loco,"Justin Quiles, Chimbala, Zion & Lennox"
Love Tonight - Edit,Shouse
ZITTI E BUONI,Måneskin
telepatía,Kali Uchis
Botella Tras Botella,"Gera MX, Christian Nodal"
Fiel,"Los Legendarios, Wisin, Jhay Cortez"
Dance Monkey,Tones And I
WITHOUT YOU,The Kid LAROI
Wants and Needs (feat. Lil Baby),Drake
Bezos I,Bo Burnham
Love Again,Dua Lipa
Goosebumps - Remix,"Travis Scott, HVME"
Head & Heart (feat. MNEK),Joel Corry
BED,"Joel Corry, RAYE, David Guetta"
Iko Iko (My Bestie),"Justin Wellington, Small Jam"
Better Believe,"Belly, The Weeknd, Young Thug"
Arcade,Duncan Laurence
512,"Mora, Jhay Cortez"
positions,Ariana Grande
Circles,Post Malone
Blaues Licht,"RAF Camora, Bonez MC"
Ram Pam Pam,"Natti Natasha, Becky G"
In Da Getto,"J Balvin, Skrillex"
Woman,Doja Cat
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
Clash (feat. Stormzy),Dave
Before You Go,Lewis Capaldi
Levitating,Dua Lipa
Reckless,Madison Beer
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO
Believer,Imagine Dragons
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money
Talking to the Moon,Bruno Mars
Roses - Imanbek Remix,SAINt JHN
Sal y Perrea,Sech
Fulanito,"Becky G, El Alfa"
París,Ingratax
lovely (with Khalid),Billie Eilish
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
double take,dhruv
Streets,Doja Cat
By Your Side (feat. Tom Grennan),Calvin Harris
MORENA,Luan Santana
Shape of You,Ed Sheeran
Señorita,"Shawn Mendes, Camila Cabello"
Hold On,Justin Bieber
Perfect,Ed Sheeran
2:50 Remix,"MYA, TINI, Duki"
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA"
ROCKSTAR (feat. Roddy Ricch),DaBaby
Heather,Conan Gray
you broke me first,Tate McRae
The Nights,Avicii
Riptide,Vance Joy
Smells Like Teen Spirit,Nirvana
enough for you,Olivia Rodrigo
Daddy Issues,The Neighbourhood
Aquelas Coisas,João Gomes
Miss The Rage (feat. Playboi Carti),Trippie Redd
Memories,Maroon 5
Another Love,Tom Odell
Here's Your Perfect,Jamie Miller
Take Me To Church,Hozier
Little Bit of Love,Tom Grennan
Ficha Limpa,Gusttavo Lima
Up,Cardi B
Hawái,Maluma
New Normal,Khalid
Bohemian Rhapsody - Remastered 2011,Queen
Bandido,"Myke Towers, Juhn"
Paradise (feat. Dermot Kennedy),MEDUZA
goosebumps,Travis Scott
Wasted Love (feat. Lagique),Ofenbach
KESI - Remix,"Camilo, Shawn Mendes"
Shallow,"Lady Gaga, Bradley Cooper"
Tell Em,"Cochise, $NOT"
"Não, Não Vou",Mari Fernandez
Counting Stars,OneRepublic
Yellow,Coldplay
Como Si No Importara,"Emilia, Duki"
Se For Amor,"João Gomes, Vitor Fernandes"
Wake Me Up,Avicii
Baby Me Atende,"Matheus Fernandes, Dilsinho"
Ramenez la coupe à la maison,Vegedream
What You Know Bout Love,Pop Smoke
Runaway,AURORA
Red Light Green Light,DaBaby
Ball If I Want To,DaBaby
Lucid Dreams,Juice WRLD
Calling My Phone,"Lil Tjay, 6LACK"
34+35,Ariana Grande
bad guy,Billie Eilish
Cover Me In Sunshine,"P!nk, Willow Sage Hart"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke
"1 step forward, 3 steps back",Olivia Rodrigo
WAP (feat. Megan Thee Stallion),Cardi B
Mr. Brightside,The Killers
Every Breath You Take,The Police
Dreams - 2004 Remaster,Fleetwood Mac
Say You Won't Let Go,James Arthur
Wild Side (feat. Cardi B),Normani
Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke
Demeanor (feat. Dua Lipa),Pop Smoke
death bed (coffee for your head),"Powfu, beabadoobee"
Our Song,"Anne-Marie, Niall Horan"
Another One Bites The Dust - Remastered 2011,Queen
One Dance,"Drake, WizKid, Kyla"
Adore You,Harry Styles
As the World Caves In,Sarah Cothran
Fancy Like,Walker Hayes
Cúrame,Rauw Alejandro
All of Me,John Legend
Martin & Gina,Polo G
Dior,Pop Smoke
Best Friend (feat. Doja Cat),Saweetie
The Hills,The Weeknd
Good Days,SZA
Kiss My (Uh Oh),"Anne-Marie, Little Mix"
De Museo,Bad Bunny
7 rings,Ariana Grande
Chosen (feat. Ty Dolla $ign),"Blxst, Tyga"
Não Nasceu pra Namorar,"MC Zaquin, MC Rick"
Breaking Me,"Topic, A7S"
penhasco.,Luísa Sonza
Late At Night,Roddy Ricch
Verdansk,Dave
The Real Slim Shady,Eminem
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke
Woo Baby (feat. Chris Brown),Pop Smoke
Holy Smokes,"Trippie Redd, Lil Uzi Vert"
More Time,Pop Smoke
Coupe,Pop Smoke
Holiday,KSI
Manslaughter (feat. Rick Ross & The-Dream),Pop Smoke
Genius (feat. Lil Tjay & Swae Lee),Pop Smoke
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator"
Sommergewitter,Pashanim
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions"
Brush Em (feat. Rah Swish),Pop Smoke
AM,"Nio Garcia, Flow La Movie"
MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta"
Ride It,Regard
Lost Cause,Billie Eilish
Shot in the Dark,John Mayer
Wrecked,Imagine Dragons
Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan"
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money
Follow You,Imagine Dragons
We're Good,Dua Lipa
Life Goes On,BTS
911,Sech
Baila Conmigo (with Rauw Alejandro),Selena Gomez
The Jackie (with J. Cole & Lil Tjay),Bas
hope ur ok,Olivia Rodrigo
Faz Amor Comigo Só Hoje - Ao Vivo,"Israel & Rodolffo, Wesley Safadão"
Alcohol-Free,TWICE
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA
Memory,"Kane Brown, blackbear"
Me Fije,"Alex Rose, Rauw Alejandro"
"Volta Bebê, Volta Neném","Dj Guuga, DJ Ivis"
Aloha,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell"
Sexo Virtual,Rauw Alejandro
Closer,"The Chainsmokers, Halsey"
Wonderwall - Remastered,Oasis
Wasting Time ( feat. Drake ),Brent Faiyaz
I Don't Do Drugs (feat. Ariana Grande),Doja Cat
Renegade (feat. Taylor Swift),Big Red Machine
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator"
All Eyes On Me,Bo Burnham
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled
Dick (feat. Doja Cat),StarBoi3
Solar Power,Lorde
Your Power,Billie Eilish
Lieben wir,Shirin David
Whoopty,CJ
Batom de Cereja - Ao Vivo,Israel & Rodolffo
Prisoner (feat. Dua Lipa),Miley Cyrus
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Reloj,"Rauw Alejandro, Anuel AA"
malibu,sangiovanni
"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Bizarrap, Eladio Carrion"
Do I Wanna Know?,Arctic Monkeys
LUMBERJACK,"Tyler, The Creator"
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator"
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator"
CORSO,"Tyler, The Creator"
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator"
SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator"
MASSA,"Tyler, The Creator"
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator"
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator"
Get Into It (Yuh),Doja Cat
WILSHIRE,"Tyler, The Creator"
RISE! (feat. DAISY WORLD),"Tyler, The Creator"
Naked,Doja Cat
Having Our Way (feat. Drake),Migos
Payday (feat. Young Thug),Doja Cat
Been Like This,Doja Cat
MILLE (feat. Orietta Berti),"Fedez, Achille Lauro"
UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny"
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo"
Poblado,"Crissin, Totoy El Frio, Natan & Shander"
Hecha Pa' Mi,Boza
working,"Tate McRae, Khalid"
Petrouchka (feat. PLK),Soso Maness
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole
m y . l i f e (with 21 Savage & Morray),J. Cole
Jocelyn Flores,XXXTENTACION
No Return (with The Kid LAROI & Lil Durk),Polo G
The Box,Roddy Ricch
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis
Anyone,Justin Bieber
my ex's best friend (with blackbear),Machine Gun Kelly
Just the Way You Are,Bruno Mars
HIGHEST IN THE ROOM,Travis Scott
Break My Heart,Dua Lipa
Laugh Now Cry Later (feat. Lil Durk),Drake
We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,Martin Garrix
Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole"
In the End,Linkin Park
No Role Modelz,J. Cole
SICKO MODE,Travis Scott
Something Just Like This,"The Chainsmokers, Coldplay"
You,"Regard, Troye Sivan, Tate McRae"
Straightenin,Migos
GANG GANG (with Lil Wayne),Polo G
Black Hearted,Polo G
Lost,Maroon 5
Avalanche,Migos
My Head & My Heart,Ava Max
Malibu (feat. Polo G),Migos
GIRL LIKE ME,"Black Eyed Peas, Shakira"
Clueless (with Pop Smoke & Fivio Foreign),Polo G
Modern Day,Migos
Therefore I Am,Billie Eilish
TE MUDASTE,Bad Bunny
Tipo Gin - Ao Vivo,MC Kevin o Chris
Higher Power,Coldplay
SUN GOES DOWN,Lil Nas X
Painting Pictures,Polo G
Rain On Me (with Ariana Grande),Lady Gaga
Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk"
Last Train Home,John Mayer
Voice of the Heroes,"Lil Baby, Lil Durk"
0X1=LOVESONG (I Know I Love you),"TOMORROW X TOGETHER, Seori"
a m a r i,J. Cole
NEVER LEFT,Lil Tecca
Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna"
La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers"
Golden,Harry Styles
CORALINE,Måneskin
BICHOTA,KAROL G
Slumber Party (feat. Princess Nokia),Ashnikko
Killer (feat. Jack Harlow & Cordae) - Remix,Eminem
Liberdade (Quando o Grave Bate Forte),"Alok, Mc Don Juan, Dj GBR"
All Girls Are The Same,Juice WRLD
734,Juice WRLD
Boy With Luv (feat. Halsey),BTS
Disco Arranhado - Funk Remix,"Malu, DJ Lucas Beat"
Godzilla (feat. Juice WRLD),Eminem
Blueberry Faygo,Lil Mosey
Somebody That I Used To Know,"Gotye, Kimbra"
Holy (feat. Chance The Rapper),Justin Bieber
Vida Louca,"Mc Poze do Rodo, Neo Beats, Mainstreet"
i n t e r l u d e,J. Cole
Butter (Instrumental),BTS
Film out,BTS
Voilà,Barbara Pravi
Shy Away,Twenty One Pilots
Saturday,Twenty One Pilots
9 5 . s o u t h,J. Cole
Seeing Green (with Drake & Lil Wayne),Nicki Minaj
Dark Side,Blind Channel
SHUM,Go_A
In the morning,ITZY
l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole
What’s Next,Drake
Ramen & OJ,"Joyner Lucas, Lil Baby"
Cloud 9,Beach Bunny
Tout l'univers,Gjon's Tears
Headshot (feat. Polo G & Fivio Foreign),Lil Tjay
Mask,Dream
10 Years,Daði Freyr
Choker,Twenty One Pilots
a p p l y i n g . p r e s s u r e,J. Cole
1 0 0 . m i l ‘ (with Bas),J. Cole
p u n c h i n ‘ . t h e . c l o c k,J. Cole
t h e . c l i m b . b a c k,J. Cole
h u n g e r . o n . h i l l s i d e (with Bas),J. Cole
c l o s e,J. Cole
WITHOUT YOU (with Miley Cyrus),The Kid LAROI
"Snow Tha Product: Bzrp Music Sessions, Vol. 39","Bizarrap, Snow Tha Product"
Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie"
Bubblegum Bitch,MARINA
Falling,Harry Styles
Explícito,Myke Towers
No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy"
PROBLEMA,Daddy Yankee
Lonely (with benny blanco),Justin Bieber
Cupid's Chokehold / Breakfast in America,Gym Class Heroes
If the World Was Ending - feat. Julia Michaels,JP Saxe
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled
Body,"Russ Millions, Tion Wayne"
everything i wanted,Billie Eilish
What You Need,Don Toliver
"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante"
HOLIDAY,Lil Nas X
At My Worst,Pink Sweat$
Life Is Good (feat. Drake),Future
Extasy,"187 Strassenbande, Bonez MC, Frauenarzt"
Wishing Well,Juice WRLD
Fan de Tus Fotos,"Nicky Jam, Romeo Santos"
Tapão Na Raba,Raí Saia Rodada
Machu Picchu,"Camilo, Evaluna Montaner"
Come & Go (with Marshmello),Juice WRLD
Robbery,Juice WRLD
Paradigmas,Jorge & Mateus
SugarCrash!,ElyOtto
durag activity (with Travis Scott),Baby Keem
love race (feat. Kellin Quinn),Machine Gun Kelly
POPSTAR (feat. Drake),DJ Khaled
LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
Girl From Rio,Anitta
On The Ground,ROSÉ
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
when the party's over,Billie Eilish
Otra Noche Sin Ti,"J Balvin, Khalid"
Met Him Last Night (feat. Ariana Grande),Demi Lovato
Back In Blood (feat. Lil Durk),Pooh Shiesty
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay
Mi Niña,"Wisin, Myke Towers, Los Legendarios"
As I Am (feat. Khalid),Justin Bieber
Come Through (feat. Chris Brown),H.E.R.
Goosebumps,HVME
Put Your Records On,Ritt Momney
Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone"
Train Wreck,James Arthur
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes
In Your Eyes,The Weeknd
SAD!,XXXTENTACION
Good Without,Mimi Webb
hot girl bummer,blackbear
When I Was Your Man,Bruno Mars
LOCATION,"KAROL G, Anuel AA, J Balvin"
Stressed Out,Twenty One Pilots
Ski,"Young Stoner Life, Young Thug, Gunna"
Diamonds Dancing (feat. Travis Scott),"Young Stoner Life, Young Thug, Gunna"
Love Story (Taylor’s Version),Taylor Swift
"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha"
Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha
willow,Taylor Swift
Why'd You Only Call Me When You're High?,Arctic Monkeys
Afterglow,Ed Sheeran
LA CANCIÓN,"J Balvin, Bad Bunny"
You Belong With Me (Taylor’s Version),Taylor Swift
Fearless (Taylor’s Version),Taylor Swift
X Gon' Give It To Ya,DMX
Fifteen (Taylor’s Version),Taylor Swift
The Way I Loved You (Taylor’s Version),Taylor Swift
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift
Hey Stephen (Taylor’s Version),Taylor Swift
White Horse (Taylor’s Version),Taylor Swift
Forever & Always (Taylor’s Version),Taylor Swift
Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift
Ruff Ryders' Anthem,DMX
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift
Tell Me Why (Taylor’s Version),Taylor Swift
You’re Not Sorry (Taylor’s Version),Taylor Swift
Chica Ideal,"Sebastian Yatra, Guaynaa"
Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko"
Don’t You (Taylor’s Version) (From The Vault),Taylor Swift
We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift
WACHA,"KHEA, Duki"
Dancing With The Devil,Demi Lovato
Gone,ROSÉ
What Other People Say,"Sam Fischer, Demi Lovato"
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke
Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno"
Take You Dancing,Jason Derulo
Unstable (feat. The Kid LAROI),Justin Bieber
Stuck with U (with Justin Bieber),Ariana Grande
Hayloft,Mother Mother
Esquema Preferido (feat. Tarcísio do Acordeon),DJ Ivis
Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK"
Payphone,"Maroon 5, Wiz Khalifa"
Ghost,Justin Bieber
Off My Face,Justin Bieber
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow
Take on Me,a-ha
BEBÉ,"Camilo, El Alfa"
Richer (feat. Polo G),Rod Wave
Tu Veneno,J Balvin
Deserve You,Justin Bieber
2 Much,Justin Bieber
Tusa,"KAROL G, Nicki Minaj"
Una Locura,"Ozuna, J Balvin, Chencho Corleone"
Loved By You (feat. Burna Boy),Justin Bieber
Girls Like Us,Zoe Wees
Lemon Pepper Freestyle (feat. Rick Ross),Drake
Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon"
Love Not War (The Tampa Beat),"Jason Derulo, Nuka"
Die For You (feat. Dominic Fike),Justin Bieber
Starboy,"The Weeknd, Daft Punk"
La Tóxica,Farruko
Coração Na Cama - Ao Vivo,Hugo & Guilherme
Love You Different (feat. BEAM),Justin Bieber
Somebody,Justin Bieber
White Dress,Lana Del Rey
Polvo,"Nicky Jam, Myke Towers"
Chemtrails Over The Country Club,Lana Del Rey
Parce (feat. Justin Quiles),"Maluma, Lenny Tavárez"
Ropa Cara,Camilo
Vida de Rico,Camilo
Devil Eyes,Hippie Sabotage
Ponte Pa' Mi,Justin Quiles
Dámelo To’ (feat. Myke Towers),Selena Gomez
Patience (feat. YUNGBLUD & Polo G),KSI
Selfish Love (with Selena Gomez),DJ Snake
Snowman,Sia
DAYWALKER! (feat. CORPSE),Machine Gun Kelly
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers"
All We Got (feat. KIDDO),Robin Schulz
Say So,Doja Cat
Hope,XXXTENTACION
